"id","firstname","secondname","date_of_birth","date_of_employment","post","employee_level","salary","department","rights"
1,"Андрей","Смирнов","1998-05-12","2014-07-15","аналитик","middle",150,"IT",False
2,"Сергей","Парамонов","2003-09-27","2016-11-23","специалист","jun",110,"IT",False
3,"Павел","Петухов","1989-11-05","2014-07-15","гл. бухгалтер","senior",180,"Fin",True
4,"Юлия","Мерзликина","1997-01-14","2018-08-03","специалист","middle",130,"IT",False
5,"Виктория","Суворова","1985-10-21","2014-07-15","руководитель","lead",200,"IT",True
6,"Дмитрий","Белинский","1991-12-07","2019-11-28","бухгалтер","jun",120,"Fin",False
7,"Александр","Петров","2001-03-18","2014-07-15","сис. админ.","middle",150,"IT",True
8,"Егор","Филатов","1997-04-22","2022-11-20","руководитель","senior",180,"IDA",True
9,"София","Немцова","2000-10-10","2022-11-20","специалист","jun",100,"IDA",False
10,"Семен","Дарницкий","1999-06-28","2022-11-20","специалист","jun",105,"IDA",False
